BuildingName,DataYear
NORTHGATE EXECUTIVE CENTER B,2020
NORTHGATE EXECUTIVE CENTER C,2020
NORTHGATE PLAZA,2020
NORTHGATE OFFICE BUILDING,2020
DELRIDGE BUILDING,2020
425 PONTIUS,2020
COSTCO 4TH AVE S,2020
1000 DENNY WAY BUILDING,2020
VIRGINIA MASON - Buck Pavilion,2020
FRED MEYER BALLARD,2020
INTERURBAN EXCHANGE II (Wainwright),2020
ROSEN BUILDING,2020
401 TERRY AVE (INSTITUTE FOR SYSTEM BIOLOGY),2020
428 WESTLAKE BUILDING,2020
CITY PLACE II (Fiona),2020
PUBLIC STORAGE - PARENT BUILDING (STORE 8185),2020
FHCRC - ARNOLD BLDG,2020
FHCRC - YALE BLDG,2020
FHCRC - Weintraub/Hutchinson/Thomas Bldgs combined,2020
SEATTLE BIOMEDICAL BUILDING,2020
WESTLAKE TERRY - EAST BLDG,2020
WESTLAKE TERRY WEST BLDG,2020
QUEEN ANNE STATION,2020
Brotman Building D: UW Medicine Research,2020
UW MEDICINE-LK UNION PHASE II,2020
200 WEST THOMAS BUILDING,2020
NORTH TOWER,2020
SOUTH TOWER,2020
QUEEN ANNE PLAZA,2020
FIRST WEST BUILDING,2020
4225 ROOSEVELT BLDG- U OF W MED. CENTER,2020
4245 ROOSEVELT - UW MEDICAL CENTER,2020
TRIAD BALLARD DEVELOPMENT,2020
PUBLIC STORAGE (STORE 8176),2020
SEATTLE CANCER CARE ALLIANCE CLINIC,2020
ASIAN COUNSELING and REFERRAL SERVICE BUILDING,2020
FRED MEYER LAKE CITY,2020
RESTAURANT DEPOT,2020
WESTBRIDGE BUILDING - SEATTLE PARKS DEPT,2020
SKYLINE EAST MARGINAL WAREHOUSE,2020
KCPQ,2020
LOWES,2020
EXTRA SPACE SELF STORAGE,2020
AURORA SHOPPING CENTER,2020
AURORA ACRES BUILDING (RETAIL PLAZA),2020
SPROUTS FARMER'S MARKET,2020
THE BURKE BLDG,2020
THE EVANSTON BUILDING,2020
ADOBE BUILDING-801-N 34 ST.,2020
FREMONT LAKE UNION CENTER - PLAZA BLDG,2020
SEATTLE ART MUSEUM,2020
PLAZA BUILDING - SEATTLE DESIGN CENTER (GEORGETOWN SQUARED),2020
NORTHWEST CORPORATE PARK DISTRIBUTION WAREHOUSE,2020
OREGON TILE AND MARBLE,2020
BALLARD BUILDING,2020
Ballard Warehouse,2020
Ballard Block I (1416 NW 4th St),2020
BALLARD BLOCK I - 4609 14th AVE NW,2020
PUBLIC STORAGE (STORE 8168),2020
CUBESMART,2020
MAGNOLIA SELF STORAGE,2020
5TH & JACKSON BUILDING,2020
UNIVERSITY CENTER,2020
NWCP BLDG K,2020
CENTURYLINK: SEATTLE 1ST AVE GARAGE,2020
SEATTLE DISTRIBUTION CENTER BLDG A,2020
SEATTLE DISTRIBUTION CENTER BLDG B,2020
NWCP BLDG A,2020
NWCP BLDG B,2020
RESOURCE CENTER,2020
400 MERCER STREET OFFICE BUILDING,2020
PUBLIC STORAGE (STORE 21517),2020
RICHMARK PRINTING,2020
SOUTH SEATTLE DISTRIBUTION CENTER- 3800,2020
SOUTH SEATTLE DISTRIBUTION CENTER- 3844,2020
SOUTH SEATTLE DISTRIBUTION CENTER- 3601,2020
Charlie's Produce & Catering (Terminal),2020
QFC & DOLLAR STORE,2020
YALE & THOMAS,2020
ALLEY 24 EAST,2020
REI - SEATTLE,2020
1130 BUILDING DARIGOLD HQ,2020
900 POPLAR BUILDING,2020
NORTHCUT LANDING,2020
CENTURYLINK: EAST CO,2020
K2 and IRON MOUNTAIN (SEATTLE 4),2020
PACIFIC TOWER,2020
NORTHWEST BLDG,2020
NORTHWEST CENTER INDUSTRIES,2020
BRIGHT HORIZONS,2020
EASTLAKE & ROY - YALE CAMPUS,2020
NORTHWAY SQUARE EAST,2020
NORTHGATE VILLAGE RETAIL,2020
NORTHWAY WEST BUILDING,2020
PACIFIC PLUMBING SUPPLY,2020
JONES STEVEDORING,2020
PEMCO,2020
MERIDIAN MEDICAL PAVILION,2020
MCMURRAY MEDICAL BUILDING,2020
IRON MOUNTAIN,2020
424 S CLOVERDALE ST,2020
NORTHWEST OUTPATIENT MEDICAL CENTER,2020
1616 EASTLAKE BUILDING,2020
